City,Temperature,Feels_Like,Humidity,Date,Weather,Wind_Speed
Delhi,34.05,32.01,20,2026-04-16,haze,2.57
Mumbai,28.99,31.82,65,2026-04-16,haze,3.6
Pune,30.64,29.37,30,2026-04-16,clear sky,0.89
Nagpur,34.01,31.97,20,2026-04-16,haze,1.54
Bengaluru,30.7,30.96,43,2026-04-16,few clouds,9.83
Hyderabad,33.23,35.62,46,2026-04-16,haze,3.6
Chennai,29.97,36.97,82,2026-04-16,few clouds,4.12
Kolkata,28.97,35.97,89,2026-04-16,haze,4.12
Ahmedabad,35.02,32.76,17,2026-04-16,smoke,2.06
Surat,25.99,25.99,83,2026-04-16,scattered clouds,2.06
Jaipur,32.62,30.63,21,2026-04-16,haze,1.54
Lucknow,28.99,27.86,30,2026-04-16,haze,1.03
Kanpur,33.37,30.92,10,2026-04-16,broken clouds,2.96
Indore,32.1,31.6,35,2026-04-16,scattered clouds,3.09
Thāne,28.95,31.74,65,2026-04-16,haze,3.6
Bhopal,34.5,32.09,15,2026-04-16,broken clouds,2.73
Visakhapatnam,28.94,35.94,89,2026-04-16,mist,4.12
Pimpri-Chinchwad,30.56,28.88,24,2026-04-16,clear sky,2.93
Patna,28.96,32.64,70,2026-04-16,haze,6.17
Vadodara,31.98,30.91,31,2026-04-16,smoke,0.0
Ghaziabad,33.82,31.31,11,2026-04-16,broken clouds,1.53
Ludhiana,29.93,28.08,14,2026-04-16,overcast clouds,3.69
Agra,34.51,31.92,11,2026-04-16,broken clouds,1.93
Nashik,28.39,27.07,22,2026-04-16,clear sky,3.08
Faridabad,34.14,31.58,10,2026-04-16,overcast clouds,1.49
Meerut,31.76,29.56,13,2026-04-16,broken clouds,1.87
Rajkot,30.05,28.87,31,2026-04-16,overcast clouds,5.67
Kalyan-Dombivli,30.88,29.7,31,2026-04-16,clear sky,1.72
Vasai-Virar,28.21,28.99,53,2026-04-16,clear sky,1.93
Varanasi,32.05,30.76,29,2026-04-16,haze,2.06
Srinagar,12.77,11.96,71,2026-04-16,overcast clouds,2.28
Aurangabad,31.05,29.21,22,2026-04-16,haze,1.03
Dhanbad,30.6,30.82,43,2026-04-16,clear sky,5.91
Amritsar,31.97,30.47,27,2026-04-16,haze,2.57
Navi Mumbai,28.97,31.78,65,2026-04-16,haze,3.6
Allahabad,34.43,31.83,10,2026-04-16,clear sky,2.34
Ranchi,25.06,25.21,61,2026-04-16,haze,2.06
Howrah,29.0,36.0,89,2026-04-16,haze,4.12
Coimbatore,28.88,32.47,70,2026-04-16,haze,7.2
Jabalpur,32.94,30.63,15,2026-04-16,clear sky,2.93
Gwalior,34.01,31.5,12,2026-04-16,broken clouds,1.43
Vijayawada,28.97,34.44,79,2026-04-16,scattered clouds,2.57
Jodhpur,35.83,33.73,18,2026-04-16,overcast clouds,3.1
Madurai,32.01,36.5,58,2026-04-16,scattered clouds,3.09
Raipur,34.08,32.49,24,2026-04-16,haze,3.09
Kota,35.33,32.9,15,2026-04-16,overcast clouds,3.08
Guwahati,24.95,25.54,78,2026-04-16,mist,1.54
Chandigarh,29.19,27.52,15,2026-04-16,broken clouds,3.46
Solapur,36.5,33.68,10,2026-04-16,clear sky,3.83
